"","Date","Open","High","Low","Close","Volume","Adjusted"
"504","2021-01-25",229.119995,229.779999,224.220001,229.529999,33152100,227.622025
"505","2021-01-26",231.860001,234.179993,230.080002,232.330002,49169600,230.398727
"506","2021-01-27",238,240.440002,230.139999,232.899994,69870600,230.963989
"507","2021-01-28",235.610001,242.639999,235.089996,238.929993,49111200,236.943863
"508","2021-01-29",235.990005,238.020004,231.350006,231.960007,42503100,230.031799
"509","2021-02-01",235.059998,242.5,232.429993,239.649994,33314200,237.657883
"510","2021-02-02",241.300003,242.309998,238.690002,239.509995,25916300,237.519043
"511","2021-02-03",239.570007,245.089996,239.259995,243,27158100,240.980026
"512","2021-02-04",242.660004,243.240005,240.369995,242.009995,25296100,239.99826
"513","2021-02-05",242.229996,243.279999,240.419998,242.199997,18054800,240.186676
"514","2021-02-08",243.149994,243.679993,240.809998,242.470001,22211900,240.454437
"515","2021-02-09",241.869995,244.759995,241.380005,243.770004,23565000,241.743637
"516","2021-02-10",245,245.919998,240.889999,242.820007,22186700,240.801529
"517","2021-02-11",244.779999,245.149994,242.149994,244.490005,15751100,242.457642
"518","2021-02-12",243.929993,245.300003,242.729996,244.990005,16561100,242.953491
"519","2021-02-16",245.029999,246.130005,242.919998,243.699997,26728500,241.67421
"520","2021-02-17",241.320007,244.309998,240.940002,244.199997,21653500,242.727814
"521","2021-02-18",241.800003,243.929993,240.860001,243.789993,16925600,242.320282
"522","2021-02-19",243.75,243.860001,240.179993,240.970001,25262600,239.517288
"523","2021-02-22",237.419998,237.929993,232.399994,234.509995,36446900,233.096222
"524","2021-02-23",230.330002,234.830002,228.729996,233.270004,30228700,231.863708
"525","2021-02-24",230.009995,235.199997,229,234.550003,26339700,233.135986
"526","2021-02-25",232.080002,234.589996,227.880005,228.990005,39542200,227.609512
"527","2021-02-26",231.529999,235.369995,229.539993,232.380005,37819200,230.97908
"528","2021-03-01",235.899994,237.470001,233.149994,236.940002,25324000,235.511581
"529","2021-03-02",237.009995,237.300003,233.449997,233.869995,22812500,232.460083
"530","2021-03-03",232.160004,233.580002,227.259995,227.559998,34029500,226.188126
"531","2021-03-04",226.740005,232.490005,224.259995,226.729996,44727800,225.363129
"532","2021-03-05",229.520004,233.270004,226.460007,231.600006,41872800,230.203781
"533","2021-03-08",231.369995,233.369995,227.130005,227.389999,35267400,226.019165
"534","2021-03-09",232.880005,235.380005,231.669998,233.779999,33080500,232.370621
"535","2021-03-10",237,237,232.039993,232.419998,29746800,231.018829
"536","2021-03-11",234.960007,239.169998,234.309998,237.130005,29907600,235.700439
"537","2021-03-12",234.009995,235.820007,233.229996,235.75,22653700,234.328751
"538","2021-03-15",234.960007,235.190002,231.809998,234.809998,26034900,233.394409
"539","2021-03-16",236.279999,240.059998,235.940002,237.710007,28092200,236.276947
"540","2021-03-17",236.149994,238.550003,233.229996,237.039993,29562100,235.610977
"541","2021-03-18",232.559998,234.190002,230.330002,230.720001,34833000,229.329086
"542","2021-03-19",231.020004,232.470001,229.350006,230.350006,46430700,228.961319
"543","2021-03-22",230.270004,236.899994,230.139999,235.990005,30127000,234.567322
"544","2021-03-23",237.490005,241.050003,237.070007,237.580002,31638400,236.147736
"545","2021-03-24",237.850006,238,235.320007,235.460007,25620100,234.040512
"546","2021-03-25",235.300003,236.940002,231.570007,232.339996,34061900,230.939316
"547","2021-03-26",231.550003,236.710007,231.550003,236.479996,25479900,235.054337
"548","2021-03-29",236.589996,236.800003,231.880005,235.240005,25227500,233.821838
"549","2021-03-30",233.529999,233.850006,231.100006,231.850006,24792000,230.452271
"550","2021-03-31",232.910004,239.100006,232.389999,235.770004,43623500,234.348633
"551","2021-04-01",238.470001,242.839996,238.050003,242.350006,30338000,240.888977
"552","2021-04-05",242.759995,249.960007,242.699997,249.070007,36910600,247.568466
"553","2021-04-06",247.610001,249.399994,246.880005,247.860001,22931900,246.365738
"554","2021-04-07",247.809998,250.929993,247.190002,249.899994,22719800,248.393448
"555","2021-04-08",252.770004,254.139999,252,253.25,23625200,251.723251
"556","2021-04-09",252.869995,255.990005,252.440002,255.850006,24326800,254.307587
"557","2021-04-12",254.710007,257.670013,254.619995,255.910004,27148700,254.367218
"558","2021-04-13",257.26001,259.190002,256.829987,258.48999,23837500,256.931671
"559","2021-04-14",257.480011,258.829987,255.160004,255.589996,23070900,254.049149
"560","2021-04-15",257.929993,259.929993,257.730011,259.5,25627500,257.935577
"561","2021-04-16",259.470001,261,257.600006,260.73999,24878600,259.168091
"562","2021-04-19",260.190002,261.480011,257.820007,258.73999,23209300,257.180145
"563","2021-04-20",257.820007,260.200012,256.839996,258.26001,19722900,256.703064
"564","2021-04-21",258.940002,260.679993,257.25,260.579987,24030400,259.009064
"565","2021-04-22",260.209991,261.779999,255.639999,257.170013,25606200,255.619629
"566","2021-04-23",257.880005,261.51001,257.269989,261.149994,21462600,259.575623
"567","2021-04-26",261.660004,262.440002,260.170013,261.549988,19763300,259.973206
"568","2021-04-27",261.579987,263.190002,260.119995,261.970001,31014200,260.390717
"569","2021-04-28",256.079987,256.540009,252.949997,254.559998,46903100,253.02536
"570","2021-04-29",255.460007,256.100006,249,252.509995,40589000,250.987717
"571","2021-04-30",249.740005,253.080002,249.600006,252.179993,30945100,250.659683
"572","2021-05-03",253.399994,254.350006,251.119995,251.860001,19626600,250.341629
"573","2021-05-04",250.970001,251.210007,245.759995,247.789993,32756100,246.296158
"574","2021-05-05",249.059998,249.5,245.820007,246.470001,21901300,244.984131
"575","2021-05-06",246.449997,249.860001,244.690002,249.729996,26491100,248.224472
"576","2021-05-07",252.149994,254.300003,251.169998,252.460007,27032900,250.938019
"577","2021-05-10",250.869995,251.729996,247.119995,247.179993,29299900,245.689835
"578","2021-05-11",244.550003,246.600006,242.570007,246.229996,33641600,244.74556
"579","2021-05-12",242.169998,244.380005,238.070007,239,36684400,237.559174
"580","2021-05-13",241.800003,245.600006,241.419998,243.029999,29624300,241.564865
"581","2021-05-14",245.580002,249.179993,245.490005,248.149994,23901100,246.654007
"582","2021-05-17",246.550003,246.589996,243.520004,245.179993,24970200,243.701889
"583","2021-05-18",246.270004,246.410004,242.899994,243.080002,20168000,241.614578
"584","2021-05-19",239.309998,243.229996,238.600006,243.119995,25739800,242.212326
"585","2021-05-20",243.960007,247.949997,243.860001,246.479996,21800700,245.559784
"586","2021-05-21",247.570007,248.330002,244.740005,245.169998,21863100,244.254669
"587","2021-05-24",247.789993,251.160004,247.509995,250.779999,21411500,249.843735
"588","2021-05-25",251.770004,252.75,250.820007,251.720001,17704300,250.780228
"589","2021-05-26",251.429993,252.940002,250.75,251.490005,17771600,250.551086
"590","2021-05-27",251.169998,251.479996,249.25,249.309998,24426200,248.379227
"591","2021-05-28",251,252.080002,249.559998,249.679993,18270200,248.747818
"592","2021-06-01",251.229996,251.289993,246.960007,247.399994,23213300,246.476349
"593","2021-06-02",248.130005,249.270004,245.839996,247.300003,19406700,246.376724
"594","2021-06-03",245.220001,246.339996,243,245.710007,25307700,244.792679
"595","2021-06-04",247.759995,251.649994,247.509995,250.789993,25281100,249.853683
"596","2021-06-07",249.979996,254.089996,249.809998,253.809998,23079200,252.862411
"597","2021-06-08",255.160004,256.01001,252.509995,252.570007,22455000,251.62706
"598","2021-06-09",253.809998,255.529999,253.210007,253.589996,17937600,252.643234
"599","2021-06-10",254.289993,257.459991,253.669998,257.23999,24563600,256.279602
"600","2021-06-11",257.98999,258.48999,256.609985,257.890015,18999700,256.927185
"601","2021-06-14",257.899994,259.950012,256.799988,259.890015,19150500,258.919739
"602","2021-06-15",259.769989,259.98999,257.679993,258.359985,18038900,257.395416
"603","2021-06-16",259.399994,260.579987,254.419998,257.380005,27220000,256.419098
"604","2021-06-17",256.070007,261.75,256.01001,260.899994,27565500,259.925964
"605","2021-06-18",259.630005,262.299988,258.75,259.429993,37202200,258.461426
"606","2021-06-21",259.820007,263.519989,257.920013,262.630005,26696100,261.649475
"607","2021-06-22",262.720001,265.790009,262.399994,265.51001,24694100,264.518738
"608","2021-06-23",265.98999,266.829987,264.429993,265.269989,19518700,264.279633
"609","2021-06-24",266.160004,267.850006,265.470001,266.690002,21446900,265.694336
"610","2021-06-25",266.230011,267.25,264.76001,265.019989,25611100,264.030579
"611","2021-06-28",266.190002,268.899994,265.910004,268.720001,19590000,267.716766
"612","2021-06-29",268.869995,271.649994,267.980011,271.399994,19937800,270.386719
"613","2021-06-30",270.690002,271.359985,269.600006,270.899994,21656500,269.888611
"614","2021-07-01",269.609985,271.839996,269.600006,271.600006,16725300,270.586029
"615","2021-07-02",272.820007,278,272.5,277.649994,26458000,276.613403
"616","2021-07-06",278.029999,279.369995,274.299988,277.660004,31565600,276.623383
"617","2021-07-07",279.399994,280.690002,277.149994,279.929993,23260000,278.884888
"618","2021-07-08",276.899994,278.730011,274.869995,277.420013,24618600,276.384277
"619","2021-07-09",275.720001,278.049988,275.320007,277.940002,23916700,276.902344
"620","2021-07-12",279.160004,279.769989,276.579987,277.320007,18931700,276.284668
"621","2021-07-13",277.519989,282.850006,277.390015,280.980011,26120100,279.930969
"622","2021-07-14",282.350006,283.660004,280.549988,282.51001,23113700,281.455292
"623","2021-07-15",282,282.51001,279.829987,281.029999,22604200,279.980774
"624","2021-07-16",282.070007,284.100006,279.459991,280.75,26186800,279.701843
"625","2021-07-19",278.929993,280.369995,274.450012,277.01001,32935600,275.9758
"626","2021-07-20",278.029999,280.970001,276.26001,279.320007,26259700,278.277161
"627","2021-07-21",278.899994,281.519989,277.290009,281.399994,24364300,280.349396
"628","2021-07-22",283.839996,286.420013,283.420013,286.140015,23384100,285.071716
"629","2021-07-23",287.369995,289.98999,286.5,289.670013,22768100,288.588531
"630","2021-07-26",289,289.690002,286.640015,289.049988,23176100,287.970825
"631","2021-07-27",289.429993,289.579987,282.950012,286.540009,33604100,285.470215
"632","2021-07-28",288.98999,290.149994,283.829987,286.220001,33566900,285.151398
"633","2021-07-29",286.23999,288.619995,286.079987,286.5,18168300,285.430389
"634","2021-07-30",285.170013,286.660004,283.910004,284.910004,20940900,283.846313
"635","2021-08-02",286.359985,286.769989,283.73999,284.820007,16267400,283.756653
"636","2021-08-03",285.420013,287.230011,284,287.119995,17879000,286.048065
"637","2021-08-04",286.220001,287.589996,284.649994,286.51001,16191300,285.440338
"638","2021-08-05",286.880005,289.630005,286.100006,289.519989,13900200,288.439087
"639","2021-08-06",288.51001,289.5,287.619995,289.459991,16585200,288.379333
"640","2021-08-09",289.75,291.549988,287.809998,288.329987,16117600,287.25351
"641","2021-08-10",288.799988,289.25,285.200012,286.440002,18616600,285.370605
"642","2021-08-11",287.209991,288.660004,285.859985,286.950012,13955900,285.878723
"643","2021-08-12",286.630005,289.970001,286.339996,289.809998,14561300,288.728027
"644","2021-08-13",289.480011,292.899994,289.299988,292.850006,18231400,291.756653
"645","2021-08-16",293.190002,294.820007,290.019989,294.600006,22507600,293.500153
"646","2021-08-17",292.390015,293.429993,291.079987,293.079987,20075300,291.985809
"647","2021-08-18",292.040009,294.820007,290.269989,290.730011,21813000,290.199097
"648","2021-08-19",288.690002,297.470001,288.640015,296.769989,29850500,296.228027
"649","2021-08-20",299.720001,305.839996,298.059998,304.359985,40796100,303.804169
"650","2021-08-23",303.25,305.399994,301.850006,304.649994,22830200,304.093658
"651","2021-08-24",305.019989,305.649994,302,302.619995,18175800,302.067352
"652","2021-08-25",304.299988,304.589996,300.420013,302.01001,20006100,301.458496
"653","2021-08-26",300.98999,302.429993,298.950012,299.089996,17666100,298.543823
"654","2021-08-27",298.98999,300.869995,296.829987,299.720001,22597000,299.172668
"655","2021-08-30",301.119995,304.220001,301.059998,303.589996,16348100,303.035583
"656","2021-08-31",304.420013,304.5,301.5,301.880005,26285300,301.328735
"657","2021-09-01",302.869995,305.190002,301.48999,301.829987,18983800,301.278809
"658","2021-09-02",302.200012,303.359985,300.179993,301.149994,16285600,300.600037
"659","2021-09-03",300.98999,302.600006,300.26001,301.140015,14747900,300.590088
"660","2021-09-07",301.01001,301.089996,298.200012,300.179993,17180400,299.631805
"661","2021-09-08",299.779999,300.609985,297.470001,300.209991,15046800,299.661743
"662","2021-09-09",300.820007,302.140015,297,297.25,19927000,296.707184
"663","2021-09-10",298.420013,299.920013,295.380005,295.709991,19619400,295.169983
"664","2021-09-13",297.549988,298.540009,294.079987,296.98999,23652900,296.447632
"665","2021-09-14",299.559998,301.390015,298.100006,299.790009,21853400,299.242554
"666","2021-09-15",303.26001,305.320007,301.820007,304.820007,28356300,304.263367
"667","2021-09-16",303.76001,305.309998,300.76001,305.220001,19550800,304.662628
"668","2021-09-17",304.170013,304.5,299.529999,299.869995,41372500,299.322388
"669","2021-09-20",296.329987,298.720001,289.519989,294.299988,38278700,293.762543
"670","2021-09-21",295.690002,297.540009,294.070007,294.799988,22364100,294.261627
"671","2021-09-22",296.730011,300.220001,294.51001,298.579987,26626300,298.034729
"672","2021-09-23",298.850006,300.899994,297.529999,299.559998,18604600,299.012939
"673","2021-09-24",298.230011,299.799988,296.929993,299.350006,14999000,298.803345
"674","2021-09-27",296.140015,296.470001,292.940002,294.170013,23571700,293.632813
"675","2021-09-28",289.799988,290.779999,282.75,283.519989,43186200,283.002228
"676","2021-09-29",285.100006,286.769989,283.01001,284,26353700,283.481354
"677","2021-09-30",285.709991,287.829987,281.619995,281.920013,32325800,281.405182
"678","2021-10-01",282.119995,289.980011,281.290009,289.100006,30086300,288.572052
"679","2021-10-04",287.399994,287.75,280.25,283.109985,31350700,282.592987
"680","2021-10-05",284.049988,290.399994,284.049988,288.76001,24993000,288.232697
"681","2021-10-06",285.779999,293.630005,285.51001,293.109985,28002600,292.574707
"682","2021-10-07",295.179993,296.640015,293.920013,294.850006,20430500,294.311554
"683","2021-10-08",296.220001,296.640015,293.76001,294.850006,17680300,294.311554
"684","2021-10-11",292.920013,297.970001,292.75,294.230011,19298600,293.692688
"685","2021-10-12",295.339996,295.440002,292.350006,292.880005,17974100,292.345154
"686","2021-10-13",294.910004,297.279999,293.48999,296.309998,23416300,295.76889
"687","2021-10-14",299.209991,303.269989,297.829987,302.75,27262900,302.197113
"688","2021-10-15",302.339996,304.450012,300.519989,304.209991,25374700,303.654449
"689","2021-10-18",303.570007,308.209991,302.690002,307.290009,22729300,306.728851
"690","2021-10-19",308.350006,309.299988,307.220001,308.230011,17682100,307.667145
"691","2021-10-20",309.209991,309.700012,306.109985,307.410004,16537100,306.848633
"692","2021-10-21",307.170013,311.019989,306.359985,310.76001,16918100,310.192505
"693","2021-10-22",310.399994,311.089996,307.799988,309.160004,17449300,308.595428
"694","2021-10-25",309.359985,309.399994,306.459991,308.130005,17554500,307.567322
"695","2021-10-26",311,312.399994,308.600006,310.109985,28107300,309.543671
"696","2021-10-27",316,326.100006,316,323.170013,52588700,322.579865
"697","2021-10-28",324.329987,324.869995,321.359985,324.350006,26297900,323.75769
"698","2021-10-29",324.130005,332,323.899994,331.619995,34744900,331.014404
"699","2021-11-01",331.359985,331.48999,326.369995,329.369995,27073200,328.768524
"700","2021-11-02",330.309998,333.450012,330,333.130005,26487100,332.521667
"701","2021-11-03",333.899994,334.899994,330.649994,334,21500100,333.390045
"702","2021-11-04",332.890015,336.540009,329.51001,336.440002,23992200,335.825592
"703","2021-11-05",338.51001,338.790009,334.420013,336.059998,22564000,335.446289
"704","2021-11-08",337.299988,337.649994,334.440002,336.98999,20897000,336.374603
"705","2021-11-09",337.109985,338.720001,334.529999,335.950012,21307400,335.336517
"706","2021-11-10",334.570007,334.630005,329.920013,330.799988,25500900,330.195892
"707","2021-11-11",331.25,333.769989,330.51001,332.429993,16849800,331.822906
"708","2021-11-12",333.920013,337.230011,333.790009,336.720001,23822000,336.105103
"709","2021-11-15",337.540009,337.880005,334.029999,336.070007,16723000,335.456299
"710","2021-11-16",335.679993,340.670013,335.51001,339.51001,20886800,338.890015
"711","2021-11-17",338.940002,342.190002,338,339.119995,19053400,339.119995
"712","2021-11-18",338.179993,342.450012,337.119995,341.269989,22463500,341.269989
"713","2021-11-19",342.640015,345.100006,342.200012,343.109985,21963400,343.109985
"714","2021-11-22",344.619995,349.670013,339.549988,339.829987,31031100,339.829987
"715","2021-11-23",337.049988,339.450012,333.559998,337.679993,30427600,337.679993
"716","2021-11-24",336.279999,338.160004,333.910004,337.910004,21661300,337.910004
"717","2021-11-26",334.350006,337.929993,328.119995,329.679993,24217200,329.679993
"718","2021-11-29",334.940002,339.029999,334.73999,336.630005,28563500,336.630005
"719","2021-11-30",335.320007,337.779999,328.98999,330.589996,42885600,330.589996
"720","2021-12-01",335.130005,339.279999,329.390015,330.079987,33337600,330.079987
"721","2021-12-02",330.299988,333.48999,327.799988,329.48999,30766000,329.48999
"722","2021-12-03",331.98999,332.700012,318.029999,323.01001,41755900,323.01001
"723","2021-12-06",323.950012,327.450012,319.230011,326.190002,30032600,326.190002
"724","2021-12-07",331.640015,335.799988,330.100006,334.920013,31021900,334.920013
"725","2021-12-08",335.309998,335.5,330.799988,334.970001,24761000,334.970001
"726","2021-12-09",334.410004,336.48999,332.119995,333.100006,22214200,333.100006
"727","2021-12-10",334.980011,343,334.790009,342.540009,38077300,342.540009
"728","2021-12-13",340.679993,343.790009,339.079987,339.399994,28899400,339.399994
"729","2021-12-14",333.220001,334.640015,324.109985,328.339996,44438700,328.339996
"730","2021-12-15",328.609985,335.190002,324.5,334.649994,35381100,334.649994
"731","2021-12-16",335.709991,336.76001,323.019989,324.899994,35034800,324.899994
"732","2021-12-17",320.880005,324.920013,317.25,323.799988,47750300,323.799988
"733","2021-12-20",320.049988,322.799988,317.570007,319.910004,28326500,319.910004
"734","2021-12-21",323.290009,327.730011,319.799988,327.290009,24740600,327.290009
"735","2021-12-22",328.299988,333.609985,325.75,333.200012,24831500,333.200012
"736","2021-12-23",332.75,336.390015,332.730011,334.690002,19617800,334.690002
"737","2021-12-27",335.459991,342.480011,335.429993,342.450012,19947000,342.450012
"738","2021-12-28",343.149994,343.809998,340.320007,341.25,15661500,341.25
"739","2021-12-29",341.299988,344.299988,339.679993,341.950012,15042000,341.950012
"740","2021-12-30",341.910004,343.130005,338.820007,339.320007,15994500,339.320007
"741","2021-12-31",338.51001,339.359985,335.850006,336.320007,18000800,336.320007
"742","2022-01-03",335.350006,338,329.779999,334.75,28865100,334.75
"743","2022-01-04",334.829987,335.200012,326.119995,329.01001,32674300,329.01001
"744","2022-01-05",325.859985,326.070007,315.980011,316.380005,40054300,316.380005
"745","2022-01-06",313.149994,318.700012,311.48999,313.880005,39646100,313.880005
"746","2022-01-07",314.149994,316.5,310.089996,314.040009,32674000,314.040009
"747","2022-01-10",309.48999,314.720001,304.690002,314.269989,44289500,314.269989
"748","2022-01-11",313.380005,316.609985,309.890015,314.980011,29386800,314.980011
"749","2022-01-12",319.670013,323.410004,317.079987,318.269989,34372200,318.269989
"750","2022-01-13",320.470001,320.880005,304,304.799988,45366000,304.799988
"751","2022-01-14",304.25,310.820007,303.75,310.200012,39823500,310.200012
"752","2022-01-18",304.070007,309.799988,301.73999,302.649994,42333200,302.649994
"753","2022-01-19",306.290009,313.910004,302.700012,303.329987,45933900,303.329987
"754","2022-01-20",309.070007,311.649994,301.140015,301.600006,35380700,301.600006
"755","2022-01-21",302.690002,304.109985,295.609985,296.029999,57118300,296.029999
